Id	LocalName	GlobalIndicatorCode	UsedForCharts	UsedForRating	UsedForOperationalMonitoring
1	Выполнение задания по роспуску вагонов с горки 	1O	1	0	1
2	Отсутствие случаев роспуска вагонов с нарушением специализации путей сортировочного парка (плана формирования)	1K11	0	0	0
4	Отсутствие случаев отцепок вагонов от составов в парке отправления с техническими неисправностями, не выявленными в парке прибытия	1K21	0	0	0
5	Выполнение нормы простоя вагонов в парке прибытия от предъявления к осмотру до снятия ограждения	1K22	1	0	0
6	Выполнение нормы времени на приемку локомотива (парк прибытия)	1K31	0	0	0
7	Отсутствие случаев превышения норм времени на экипировку локомотива (парк прибытия)	1K32	0	0	0
8	Выполнение задания по выставлению вагонов в сформированных составах в парк отправления	2O	1	0	1
11	Выполнение нормы времени на приемку локомотива (парк формирования)	2K31	0	0	0
12	Отсутствие случаев превышения нормы времени на экипировку локомотива по вине локомотивной бригады (парк формирования)	2K32	0	0	0
16	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения	3K21	1	0	0
17	Отсутствие случаев отцепки вагонов от составов по техническим неисправностям на гарантийном участке (кроме буксового узла)	3K22	0	0	0
18	Отсутствие случаев необеспечения готовых поездов локомотивами необходимой серии и локомотивной бригадой в соответствии с заявкой	3K31	0	0	0
19	Выполнение нормы вспомогательного времени	3K32	1	0	0
20	Отсутствие случаев возврата локомотивной бригады или локомотива в депо по вине работников депо	3K33	0	0	0
21	Выполнение задания по отправлению вагонов со станции (в целом по станции (системе))	RO	1	1	1
22	Выполнение нормы простоя вагонов транзитных с переработкой (в целом по станции (системе))	RK11	1	1	1
23	Выполнение нормы простоя вагонов транзитных без переработки (в целом по станции (системе))	RK12	0	1	1
24	Выполнение задания по средней длине поезда своего формирования	RK13	0	0	1
30	Отсутствие случаев повреждения подвижного состава и коммерческих браков при роспуске вагонов	1K13	0	0	0
31	Выполнение задания по отправлению грузовых поездов своего формирования на нитку графика	3K13	0	0	0
32	Бригадная форма премирования: смене рассчитывается суммовая премия с распределением по КИТ, КИВ. Премирование производится за обработанный вагон, проследовавший без отцепок и задержек по технической неисправности в пути следования по гарантийным плечам	3K34	0	0	0
33	Выполнение плана по перевеске вагонов	2K13	0	0	0
34	Снижение количества отцепок вагонов по коммерческим неисправностям от транзитных поездов с обработкой по сравнению с аналогичным периодом прошлого года	1K19	0	0	0
35	Обеспечение выполнения графика отправления грузовых поездов на уровне не ниже 80%	3K14	0	0	0
37	Отсутствие случаеа нарушения плана формирования по вине работника	1K110	0	0	0
38	Отсутствие принятых вагонов с нарушением условий погрузки по вине работника	3K110	0	0	0
39	Отсутствие убытков от несохранности перевозимых грузов по вине работника	1K14	0	0	0
40	Выполнение задания по отправлению на точку графика движения поездов	3K16	0	0	0
41	Выполнение задания по средней длине поезда по отправлению не ниже аналогичного периода прошлого года	3K15	0	0	0
42	Выполнение задания по средней длине поезда своего формирования по отправлению не ниже аналогичного периода прошлого года	2K16	0	0	0
43	Выполнение  по станции нормы простоя местного вагона на ответственности ОАО "РЖД"	1K18	0	0	0
44	Выполнение нормы простоя транзитных вагонов с переработкой в парке прибытия по элементу расформирование	1K116	0	0	0
46	Отцепка вагонов с нарушением технических условий на гарантийных участках	1K114	0	0	0
47	Процент отправления грузовых поездов на нитку графика	3K17	0	0	0
48	Выполнение нормы простоя по обработке вагонов в соответствии с установленным технологическим процессом (без учета времени ожидания технического обслуживания)	3K23	0	0	0
49	Выполнение нормы простоя транзитных вагонов с переработкой в парке прибытия по элементу обработка	1K115	0	0	0
50	Выполнение нормы простоя транзитного вагона с переработкой от прибытия до окончания формирования	1K117	0	0	0
51	Выполнение  нормы простоя транзитных вагонов с переработкой от прибытия до окончания расформирования	1K118	0	0	0
52	Выполнение плана простоя тр. вагона с переработкой в сортировочном парке	1K119	0	0	0
53	Выполнение нормы простоя вагонов транзитных с переработкой(в сортировочно-отправочном парке)	2K17	0	0	0
